Removed Pin From Net: NetName=GND_1 Pin=J27-1
Removed Pin From Net: NetName=SYS_PWR_DET Pin=J28-1
Removed Pin From Net: NetName=GND_2 Pin=J30-1
Removed Member From Class: ClassName=20V_Isolator Member=C25
Removed Member From Class: ClassName=20V_Isolator Member=C27
Removed Member From Class: ClassName=LDO_3V3 Member=C27
Removed Member From Class: ClassName=LDO_3V3 Member=C28
Removed Member From Class: ClassName=20V_Isolator Member=C29
Removed Member From Class: ClassName=LDO_3V3 Member=C29
Added Pin To Net: NetName=SYS_PWR_DET Pin=J27-1
Added Pin To Net: NetName=GND_2 Pin=J28-1
Added Pin To Net: NetName=GND_1 Pin=J30-1
Added Member To Class: ClassName=PowerModule Member=Component C4 10uF, 50V, X5R, 1206
Added Member To Class: ClassName=PowerModule Member=Component C5 4.7uF, 50V, X5R, 0805
Added Member To Class: ClassName=PowerModule Member=Component C6 220nF 25V, X7R, 0603
Added Member To Class: ClassName=PowerModule Member=Component C8 10nF, 50V, X7R, 0603
Added Member To Class: ClassName=PowerModule Member=Component C9 1uF, 50V, X5R, 0402
Added Member To Class: ClassName=PowerModule Member=Component C10 100nF, 50v, X7R, 0402
Added Member To Class: ClassName=PowerModule Member=Component C12 100nF, 50v, X7R, 0402
Added Member To Class: ClassName=PowerModule Member=Component C13 4.7uF, 50V, X5R, 0805
Added Member To Class: ClassName=20V_Isolator Member=Component C19 4.7uF, 25V, X5S, 0805
Added Member To Class: ClassName=20V_Isolator Member=Component C20 10uF, 50V, 10%, 2917
Added Member To Class: ClassName=20V_Isolator Member=Component C21 1uF, 50V, X5R, 0402
Added Member To Class: ClassName=LDO_3V3 Member=Component C22 1uF, 50V, X5R, 0402
Added Member To Class: ClassName=LDO_3V3 Member=Component C23 100nF, 50v, X7R, 0402
Added Member To Class: ClassName=LDO_3V3 Member=Component C24 100nF, 50v, X7R, 0402
Added Member To Class: ClassName=ISO_Signals Member=Component C26 100nF, 50v, X7R, 0402
Added Member To Class: ClassName=Amplifier_K-51 Member=Component C30_Amplifier_K-51 (C30) 100nF, 25v, X5R, 0402
Added Member To Class: ClassName=Amplifier_K-52 Member=Component C30_Amplifier_K-52 (C30) 100nF, 25v, X5R, 0402
Added Member To Class: ClassName=Amplifier_K-51 Member=Component C31_Amplifier_K-51 (C31) 470nF, 50v, X7R, 0603
Added Member To Class: ClassName=Amplifier_K-52 Member=Component C31_Amplifier_K-52 (C31) 470nF, 50v, X7R, 0603
Added Member To Class: ClassName=Amplifier_K-51 Member=Component C32_Amplifier_K-51 (C32) 470nF, 50v, X7R, 0603
Added Member To Class: ClassName=Amplifier_K-52 Member=Component C32_Amplifier_K-52 (C32) 470nF, 50v, X7R, 0603
Added Member To Class: ClassName=Amplifier_K-51 Member=Component C33_Amplifier_K-51 (C33) 470nF, 50v, X7R, 0603
Added Member To Class: ClassName=Amplifier_K-52 Member=Component C33_Amplifier_K-52 (C33) 470nF, 50v, X7R, 0603
Added Member To Class: ClassName=Amplifier_K-51 Member=Component C34_Amplifier_K-51 (C34) 470nF, 50v, X7R, 0603
Added Member To Class: ClassName=Amplifier_K-52 Member=Component C34_Amplifier_K-52 (C34) 470nF, 50v, X7R, 0603
Added Member To Class: ClassName=Amplifier_K-51 Member=Component C35_Amplifier_K-51 (C35) 470nF, 50v, X7R, 0603
Added Member To Class: ClassName=Amplifier_K-52 Member=Component C35_Amplifier_K-52 (C35) 470nF, 50v, X7R, 0603
